Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1300234.trim_1P	0.0	0.0
SRR1300235.trim_1P	0.0	0.0
SRR1300236.trim_1P	0.0	0.0
SRR1300237.trim_1P	0.0	0.0
SRR1300238.trim_1P	0.0	0.0
SRR1300239.trim_1P	0.0	0.0
SRR1300240.trim_1P	0.0	0.0
SRR1300241.trim_1P	0.0	0.0
SRR1300242.trim_1P	0.0	0.0
SRR1300243.trim_1P	0.0	0.0
SRR1300244.trim_1P	0.0	0.0
SRR1300245.trim_1P	0.0	0.0
SRR1300246.trim_1P	0.0	0.0
SRR1300247.trim_1P	0.0	0.0
SRR1300248.trim_1P	0.0	0.0
SRR1300249.trim_1P	0.0	0.0
SRR1300250.trim_1P	0.0	0.0
SRR1300251.trim_1P	0.0	0.0
SRR1300252.trim_1P	0.0	0.0
SRR1300253.trim_1P	0.0	0.0
SRR1300254.trim_1P	0.0	0.11984940936084242
SRR1300255.trim_1P	0.0	0.0
SRR1300256.trim_1P	0.0	0.0
SRR1300257.trim_1P	0.0	0.0
SRR1300258.trim_1P	0.0	0.0
SRR1300259.trim_1P	0.0	0.0
SRR1300260.trim_1P	0.0	0.0
SRR1300261.trim_1P	0.0	0.0
SRR1300262.trim_1P	0.0	0.0
SRR1300263.trim_1P	0.0	0.0
SRR1300264.trim_1P	0.0	0.0
SRR1300265.trim_1P	0.0	0.0
SRR1300266.trim_1P	0.0	0.0
SRR1300267.trim_1P	0.0	0.0
SRR1300268.trim_1P	0.0	0.0
SRR1300269.trim_1P	0.0	0.0
SRR1300270.trim_1P	0.0	0.0
SRR1300271.trim_1P	0.0	0.0
SRR1300272.trim_1P	0.0	0.0
SRR1300273.trim_1P	0.0	0.0
SRR1300274.trim_1P	0.0	0.0
SRR1300275.trim_1P	0.0	0.0
SRR1300276.trim_1P	0.0	0.0
SRR1300277.trim_1P	0.0	0.0
SRR1300278.trim_1P	0.0	0.0
SRR1300279.trim_1P	0.0	0.0
SRR1300280.trim_1P	0.0	0.0
SRR1300281.trim_1P	0.0	0.0
SRR1300282.trim_1P	0.0	0.0
SRR1300283.trim_1P	0.0	0.0
SRR1300284.trim_1P	0.0	0.0
SRR1300285.trim_1P	0.0	0.0
SRR1300286.trim_1P	0.0	0.0
SRR1300287.trim_1P	0.0	0.0
SRR1300288.trim_1P	0.0	0.0
SRR1300289.trim_1P	0.0	0.0
