SAMPLE_ACC,Sample Type,SAMPLE_VOLUME,VOLUME_UNIT,FILTER_MIN,FILTER_MAX,SAMPLE_DESCRIPTION,SAMPLE_NAME,COMMENTS,TAXON_ID,COLLECTION_START_TIME,COLLECTION_STOP_TIME,BIOMATERIAL_NAME,DESCRIPTION,MATERIAL_ACC,SITE_NAME,LATITUDE,LONGITUDE,ALTITUDE,SITE_DEPTH,SITE_DESCRIPTION,COUNTRY_NAME,REGION,HABITAT_NAME,HOST_TAXON_ID,HOST_DESCRIPTION,HOST_ORGANISM,LIBRARY_ACC,SEQUENCING_METHOD,DNA_TYPE,NUM_OF_READS,MATERIAL_ID,Silicate - (umol/kg),sample depth - (M),salinity - (psu),temperature - (C),chlorophyll density - (ug/kg),phosphate - (umol/kg),dissolved oxygen - (nmol/kg),Particulate Organic Carbon - (umol/kg),dissolved organic carbon - (umol/kg),pH,nitrate(NO3) - (umol/l)
CAM_SMPL_002548,eukaryotes,,,,,Heterosigma akashiwo NB,MMETSP0416,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0416"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0416</a>""",536047,05:00.0,05:00.0,(MMETSP0416) Heterosigma akashiwo - Seawater,,CAM_BM_002568,Atlantic_Ocean,41.65583,-71.44778,,,"Greenwich Cove, Narragansett Bay",UNITED STATES,,marine habitat,,,,CAM_LIB_001314,Illumina,cDNA,,3023,,,25.6,21.2,,,,,,,
CAM_SMPL_002549,eukaryotes,,,,,Mayorella sp BSH-02190019,MMETSP0417,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0417"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0417</a>""",242541,,,(MMETSP0417) Mayorella sp - sediment,,CAM_BM_002569,Atlantic_Ocean,37.26517,-76.38354,,,salt marsh sediment,UNITED STATES,,marine habitat,,,,CAM_LIB_001315,Illumina,cDNA,,3024,,0,,,,,,,,,
CAM_SMPL_002550,eukaryotes,,,,,Heterosigma akashiwo NB,MMETSP0414,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0414"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0414</a>""",536047,05:00.0,05:00.0,(MMETSP0414) Heterosigma akashiwo - Seawater,,CAM_BM_002570,Atlantic_Ocean,41.65583,-71.44778,,,"Greenwich Cove, Narragansett Bay",UNITED STATES,,marine habitat,,,,CAM_LIB_001316,Illumina,cDNA,,3025,,,25.6,21.2,,,,,,,
CAM_SMPL_002551,eukaryotes,,,,,Heterosigma akashiwo NB,MMETSP0415,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0415"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0415</a>""",536047,05:00.0,05:00.0,(MMETSP0415) Heterosigma akashiwo - Seawater,,CAM_BM_002571,Atlantic_Ocean,41.65583,-71.44778,,,"Greenwich Cove, Narragansett Bay",UNITED STATES,,marine habitat,,,,CAM_LIB_001317,Illumina,cDNA,,3026,,1,25.6,21.2,,,,,,,
CAM_SMPL_002553,eukaryotes,,,,,Thalassiosira rotula CCMP3096,MMETSP0403,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0403"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0403</a>""",49265,00:00.0,00:00.0,(MMETSP0403) Thalassiosira rotula - seawater,,CAM_BM_002573,Pacific_Ocean,49.65,-127.4338,,,,CANADA,,marine habitat,,,,CAM_LIB_001319,Illumina,cDNA,,3028,,0,,8,,,,,,,
CAM_SMPL_002554,eukaryotes,,,,,Thalassiosira rotula CCMP3096,MMETSP0404,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0404"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0404</a>""",49265,00:00.0,00:00.0,(MMETSP0404) Thalassiosira rotula - seawater,,CAM_BM_002574,Pacific_Ocean,49.65,-127.4338,,,,CANADA,,marine habitat,,,,CAM_LIB_001320,Illumina,cDNA,,3029,,0,,8,,,,,,,
CAM_SMPL_002555,eukaryotes,,,,,Trichosphaerium sp Am-I-7 wt,MMETSP0405,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0405"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0405</a>""",498012,,,(MMETSP0405) Trichosphaerium sp - from stipes of Sargassum muticum,,CAM_BM_002575,Atlantic_Ocean,34.46809,-120.27233,,,stipes of Sargassum muticum,UNITED STATES,,organism-associated habitat,,,,CAM_LIB_001321,Illumina,cDNA,,3030,,0,,,,,,,,,
CAM_SMPL_002556,eukaryotes,,,,,Heterosigma akashiwo CCMP3107,MMETSP0409,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0409"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0409</a>""",536047,00:00.0,00:00.0,(MMETSP0409) Heterosigma akashiwo - Seawater,,CAM_BM_002576,Pacific_Ocean,52.5758,-128.5003,,,"Nowish Inlet, Queen Charlotte Sound",CANADA,,marine habitat,,,,CAM_LIB_001322,Illumina,cDNA,,3031,,0.5,,,,,,,,,
CAM_SMPL_002557,eukaryotes,,,,,Heterosigma akashiwo CCMP3107,MMETSP0410,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0410"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0410</a>""",536047,00:00.0,00:00.0,(MMETSP0410) Heterosigma akashiwo - Seawater,,CAM_BM_002577,Pacific_Ocean,52.5758,-128.5003,,,"Nowish Inlet, Queen Charlotte Sound",CANADA,,marine habitat,,,,CAM_LIB_001323,Illumina,cDNA,,3032,,0.5,,,,,,,,,
CAM_SMPL_002558,eukaryotes,,,,,Heterosigma akashiwo CCMP3107,MMETSP0411,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0411"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0411</a>""",536047,00:00.0,00:00.0,(MMETSP0411) Heterosigma akashiwo,,CAM_BM_002578,Pacific_Ocean,52.5758,-128.5003,,,"Nowish Inlet, Queen Charlotte Sound",CANADA,,marine habitat,,,,CAM_LIB_001324,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002560,eukaryotes,,,,,Pessonella sp. PRA-29,MMETSP0420,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0420"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0420</a>""",498008,,,(MMETSP0420) Pessonella sp. - marine invertebrate,,CAM_BM_002580,Atlantic_Ocean,,,,,isolated from a lobster,UNITED STATES,,organism-associated habitat,,,,CAM_LIB_001326,Illumina,cDNA,,3035,,0,,,,,,,,,
CAM_SMPL_002561,eukaryotes,,,,,Favella taraikaensis Fe Narragansett Bay,MMETSP0434,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0434"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0434</a>""",626734,00:00.0,00:00.0,(MMETSP0434) Favella taraikaensis,,CAM_BM_002581,Atlantic_Ocean,41.30051,-71.71543,,,"off shore of Quonochontaug Pond, Rhode Island",UNITED STATES,,marine habitat,,,,CAM_LIB_001327,Illumina,cDNA,,3036,,1,30.68,,,,,,,,
CAM_SMPL_002562,eukaryotes,,,,,Strombidium rassoulzadegani ras09,MMETSP0449,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0449"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0449</a>""",1082188,00:00.0,00:00.0,(MMETSP0449) Strombidium rassoulzadegani - seawater,,CAM_BM_002582,Atlantic_Ocean,41,72,,,Long Island Sound,UNITED STATES,,marine habitat,,,,CAM_LIB_001328,Illumina,cDNA,,3037,,0,,,,,,,,,
CAM_SMPL_002564,eukaryotes,,,,,Oxyrrhis marina CCMP1795 (combined sample which includes MMETSP0451_2 and MMETSP0452_2),MMETSP0451_2C,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0451"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0451</a>""",2969,,,(MMETSP0451) Oxyrrhis marina,,CAM_BM_002584,,,,,,,UNITED STATES,,,,,,CAM_LIB_001330,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002564,eukaryotes,,,,,Oxyrrhis marina CCMP1795 (combined sample which includes MMETSP0451_2 and MMETSP0452_2),MMETSP0451_2C,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0451"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0451</a>""",2969,,,(MMETSP0452) Oxyrrhis marina,,CAM_BM_002588,,,,,,,UNITED STATES,,,,,,CAM_LIB_001330,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002565,eukaryotes,,,,,Oxyrrhis marina ,MMETSP0468,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0468"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0468</a>""",2969,,,(MMETSP0468) Oxyrrhis marina,,CAM_BM_002585,,,,,,,,,,,,,CAM_LIB_001331,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002566,eukaryotes,,,,,Oxyrrhis marina ,MMETSP0469,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0469"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0469</a>""",2969,,,(MMETSP0469) Oxyrrhis marina,,CAM_BM_002586,,,,,,,,,,,,,CAM_LIB_001332,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002567,eukaryotes,,,,,Oxyrrhis marina ,MMETSP0470,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0470"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0470</a>""",2969,,,(MMETSP0470) Oxyrrhis marina,,CAM_BM_002587,,,,,,,,,,,,,CAM_LIB_001333,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002569,eukaryotes,,,,,Strombidinopsis sp SopsisLIS2011,MMETSP0463,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0463"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0463</a>""",181622,,,(MMETSP0463) Strombidinopsis sp,,CAM_BM_002589,Atlantic_Ocean,41,-72,,,Long Island Sound,UNITED STATES,,marine habitat,,,,CAM_LIB_001335,Illumina,cDNA,,3044,,0,,,,,,,,,
CAM_SMPL_002570,eukaryotes,,,,,Mesodinium pulex SPMC105,MMETSP0467,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0467"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0467</a>""",283647,00:00.0,00:00.0,(MMETSP0467) Mesodinium pulex,,CAM_BM_002590,,48.5,-122.6,,,,UNITED STATES,,,,,,CAM_LIB_001336,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002572,eukaryotes,,,,,Favella taraikaensis Fe Narragansett Bay,MMETSP0436,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0436"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0436</a>""",626734,00:00.0,00:00.0,(MMETSP0436) Favella taraikaensis,,CAM_BM_002592,Atlantic_Ocean,41.30051,-71.71543,,,"off shore of Quonochontaug Pond, Rhode Island",UNITED STATES,,marine habitat,,,,CAM_LIB_001338,Illumina,cDNA,,3047,,1,30.68,,,,,,,,
CAM_SMPL_002573,eukaryotes,,,,,Sexangularia sp. ATCC50979,MMETSP0437,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0437"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0437</a>""",0,,,(MMETSP0437) Sexangularia sp.,,CAM_BM_002593,Atlantic_Ocean,37.96053,-75.3281,,,isolated from a mud flat,UNITED STATES,,marine habitat,,,,CAM_LIB_001339,Illumina,cDNA,,3048,,0,,,,,,,,,
CAM_SMPL_002575,eukaryotes,,,,,Stereomyxa ramosa Chinc5,MMETSP0439,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0439"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0439</a>""",0,,,(MMETSP0439) Stereomyxa ramosa,,CAM_BM_002595,Atlantic_Ocean,37.93318,-75.37881,,,moist soil from mud flat approximately 800 yards from the ocean,UNITED STATES,,marine habitat,,,,CAM_LIB_001341,Illumina,cDNA,,3050,,0,,,,,,,,,
CAM_SMPL_002576,eukaryotes,,,,,Stygamoeba regulata BSH-02190019,MMETSP0447,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0447"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0447</a>""",0,,,(MMETSP0447) Stygamoeba regulata - sediment,,CAM_BM_002596,Atlantic_Ocean,37.26598,-76.38467,,,salt marsh sediment,UNITED STATES,,marine habitat,,,,CAM_LIB_001342,Illumina,cDNA,,3051,,0,,,,,,,,,
CAM_SMPL_002577,eukaryotes,,,,,Heterocapsa triquestra CCMP 448,MMETSP0448,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0448"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0448</a>""",66468,00:00.0,00:00.0,(MMETSP0448) Heterocapsa triquestra - Seawater,,CAM_BM_002597,Atlantic_Ocean,41.54,-70.61,,,"Perch Pond, Falmouth, MA Nantucket Sound",UNITED STATES,,marine habitat,,,,CAM_LIB_001343,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002578,eukaryotes,,,,,Astrosyne radiata 13vi08-1A,MMETSP0418,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0418"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0418</a>""",1158023,00:00.0,00:00.0,(MMETSP0418) Astrosyne radiata,,CAM_BM_002598,,13.4427,144.6428,,,"Gab Gab Beach--farmer fish"" turf""",GUAM,,marine habitat,,,,CAM_LIB_001344,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002579,eukaryotes,,,,,Tetraselmis sp. GSL018,MMETSP0419,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0419"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0419</a>""",582737,,,(MMETSP0419) Tetraselmis sp.,,CAM_BM_002599,,,,,,,,,,,,,CAM_LIB_001345,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002580,eukaryotes,,,,,Aurantiochytrium limacinum ATCCMYA-1381,MMETSP0959,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0959"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0959</a>""",87120,00:00.0,00:00.0,(MMETSP0959) Aurantiochytrium limacinum,,CAM_BM_002600,Pacific_Ocean,9.53333,138.11667,,,,"MICRONESIA, FEDERATED STATES OF",,marine habitat,,,,CAM_LIB_001346,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002581,eukaryotes,,,,,non described non described CCMP2097,MMETSP0975,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0975"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0975</a>""",483370,00:00.0,00:00.0,(MMETSP0975) non described non described - surface sea ice melt water,,CAM_BM_002601,Baffin Bay,77.0014,-77.2383,,,North Water Polynia Study (NOW),CANADA,,marine habitat,,,,CAM_LIB_001347,Illumina,cDNA,,3056,,0,,,,,,,,,
CAM_SMPL_002582,eukaryotes,,,,,non described non described CCMP2097,MMETSP0976,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0976"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0976</a>""",483370,00:00.0,00:00.0,(MMETSP0976) non described non described,,CAM_BM_002602,Baffin Bay,77.0014,-77.2383,,,North Water Polynia Study (NOW),CANADA,,marine habitat,,,,CAM_LIB_001348,Illumina,cDNA,,3057,,0,,,,,,,,,
CAM_SMPL_002583,eukaryotes,,,,,Ditylum brightwellii GSO103,MMETSP1002,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1002"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1002</a>""",49249,00:00.0,00:00.0,(MMETSP1002) Ditylum brightwellii - Seawater,,CAM_BM_002603,Pacific_Ocean,49.654,-127.436,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001349,Illumina,cDNA,,3058,,0.5,,6.1,,,,,,,
CAM_SMPL_002584,eukaryotes,,,,,Ditylum brightwellii GSO103,MMETSP1005,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1005"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1005</a>""",49249,00:00.0,00:00.0,(MMETSP1005) Ditylum brightwellii - Seawater,,CAM_BM_002604,Pacific_Ocean,49.654,-127.436,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001350,Illumina,cDNA,,3059,,0.5,,,,,,,,,
CAM_SMPL_002586,eukaryotes,,,,,Lingulodinium polyedra CCMP 1738,MMETSP1032,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1032"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1032</a>""",160621,,,(MMETSP1032) Lingulodinium polyedra,,CAM_BM_002606,Gulf of Mexico,27.8,97.13,,,Texas Coast,UNITED STATES,,marine habitat,,,,CAM_LIB_001352,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002587,eukaryotes,,,,,Lingulodinium polyedra CCMP 1738,MMETSP1033,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1033"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1033</a>""",160621,,,(MMETSP1033) Lingulodinium polyedra,,CAM_BM_002607,Gulf of Mexico,27.8,97.13,,,Texas Coast,UNITED STATES,,marine habitat,,,,CAM_LIB_001353,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002588,eukaryotes,,,,,Lingulodinium polyedra CCMP 1738,MMETSP1034,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1034"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1034</a>""",160621,,,(MMETSP1034) Lingulodinium polyedra,,CAM_BM_002608,Gulf of Mexico,27.8,97.13,,,Texas Coast,UNITED STATES,,marine habitat,,,,CAM_LIB_001354,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002589,eukaryotes,,,,,Lingulodinium polyedra CCMP 1738,MMETSP1035,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1035"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1035</a>""",160621,,,(MMETSP1035) Lingulodinium polyedra,,CAM_BM_002609,Gulf of Mexico,27.8,97.13,,,Texas Coast,UNITED STATES,,marine habitat,,,,CAM_LIB_001355,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002590,eukaryotes,1,L,3,20,Azadinium spinosum 3D9,MMETSP1036,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1036"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1036</a>""",632150,00:00.0,00:00.0,(MMETSP1036) Azadinium spinosum - Seawater,,CAM_BM_002610,North Sea,57.0525,2.50056,,,,UNITED KINGDOM,,marine habitat,,,,CAM_LIB_001356,Illumina,cDNA,,3065,,,34,12,,,,,,,
CAM_SMPL_002591,eukaryotes,1,L,3,20,Azadinium spinosum 3D9,MMETSP1037,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1037"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1037</a>""",632150,00:00.0,00:00.0,(MMETSP1037) Azadinium spinosum - Seawater,,CAM_BM_002611,North Sea,57.0525,2.50056,,,,UNITED KINGDOM,,marine habitat,,,,CAM_LIB_001357,Illumina,cDNA,,3066,,,34,12,,,,,,,
CAM_SMPL_002592,eukaryotes,1,L,3,20,Azadinium spinosum 3D9,MMETSP1038,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1038"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1038</a>""",632150,00:00.0,00:00.0,(MMETSP1038) Azadinium spinosum - Seawater,,CAM_BM_002612,North Sea,57.0525,2.50056,,,,UNITED KINGDOM,,marine habitat,,,,CAM_LIB_001358,Illumina,cDNA,,3067,,,34,12,,,,,,,
CAM_SMPL_002593,eukaryotes,,,,,Skeletonema marinoi FE7,MMETSP1039,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1039"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1039</a>""",267567,00:00.0,00:00.0,(MMETSP1039) Skeletonema marinoi - Seawater,,CAM_BM_002613,Adriatic Sea,43.5,14.5,,,,ITALY,,marine habitat,,,,CAM_LIB_001359,Illumina,cDNA,,3068,,2,37.0423,18,,,,,,,
CAM_SMPL_002594,eukaryotes,,,,,Skeletonema marinoi FE60,MMETSP1040,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1040"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1040</a>""",267567,00:00.0,00:00.0,(MMETSP1040) Skeletonema marinoi - Seawater,,CAM_BM_002614,Adriatic Sea,43.5,14.5,,,,ITALY,,marine habitat,,,,CAM_LIB_001360,Illumina,cDNA,,3069,,2,37.0423,18,,,,,,,
CAM_SMPL_002595,eukaryotes,,,,,Hemiselmis andersenii CCMP439,MMETSP1041,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1041"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1041</a>""",464988,,,(MMETSP1041) Hemiselmis andersenii,,CAM_BM_002615,,,,,,,,,,,,,CAM_LIB_001361,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002596,eukaryotes,,,,,Hemiselmis andersenii CCMP1180,MMETSP1042,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1042"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1042</a>""",464988,,,(MMETSP1042) Hemiselmis andersenii,,CAM_BM_002616,,,,,,,,,,,,,CAM_LIB_001362,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002597,eukaryotes,,,,,Hemiselmis andersenii CCMP441,MMETSP1043,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1043"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1043</a>""",464988,,,(MMETSP1043) Hemiselmis andersenii,,CAM_BM_002617,,,,,,,,,,,,,CAM_LIB_001363,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002598,eukaryotes,,,,,Rhodomonas salina CCMP1319,MMETSP1047,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1047"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1047</a>""",52970,,,(MMETSP1047) Rhodomonas salina,,CAM_BM_002618,,,,,,,,,,,,,CAM_LIB_001364,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002599,eukaryotes,,,,,Hanusia phi CCMP325,MMETSP1048,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1048"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1048</a>""",3032,,,(MMETSP1048) Hanusia phi,,CAM_BM_002619,,,,,,,,,,,,,CAM_LIB_001365,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002600,eukaryotes,,,,,Proteomonas sulcata CCMP704,MMETSP1049,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1049"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1049</a>""",77928,,,(MMETSP1049) Proteomonas sulcata,,CAM_BM_002620,,,,,,,,,,,,,CAM_LIB_001366,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002601,eukaryotes,,,,,Cryptomonas curvata CCAP979/52,MMETSP1050,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1050"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1050</a>""",233186,,,(MMETSP1050) Cryptomonas curvata,,CAM_BM_002621,,,,,,,,,,,,,CAM_LIB_001367,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002602,eukaryotes,,,,,Bigelowiella natans CCMP623,MMETSP1052,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1052"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1052</a>""",227086,,,(MMETSP1052) Bigelowiella natans,,CAM_BM_002622,,,,,,,,,,,,,CAM_LIB_001368,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002603,eukaryotes,,,,,Bigelowiella natans CCMP1259,MMETSP1054,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1054"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1054</a>""",227086,,,(MMETSP1054) Bigelowiella natans,,CAM_BM_002623,,,,,,,,,,,,,CAM_LIB_001369,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002604,eukaryotes,,,,,Bigelowiella natans CCMP1258.1,MMETSP1055,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1055"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1055</a>""",227086,,,(MMETSP1055) Bigelowiella natans,,CAM_BM_002624,,,,,,,,,,,,,CAM_LIB_001370,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002606,eukaryotes,4,L,0.8,0.8,Cyclotella meneghiniana CCMP 338,MMETSP1057,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP1057"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP1057</a>""",29205,00:00.0,00:00.0,(MMETSP1057) Cyclotella meneghiniana - Seawater,,CAM_BM_002626,Atlantic_Ocean,43.8442,-69.641,,,"Dyer's Dock, Boothbay Harbor, Maine USA",UNITED STATES,,marine habitat,,,,CAM_LIB_001372,Illumina,cDNA,,,,,,,,,,,,,
