"","SampleName","n_seqs","total_annotation_names","unique_annotation_names","total_annotated_contigs","unique_annotations","annotations_w_false_crbb","total_OrthoDB","unique_OrthoDB","false_crbb_OrthoDB","total_Pfam","unique_Pfam","false_crbb_Pfam","total_Rfam","unique_Rfam","false_crbb_Rfam"
"154","MMETSP0320",34068,54653,12795,28053,11462,932,11459,6534,555,43018,6800,488,176,52,16
"155","MMETSP0321",34549,57140,11784,25923,10812,568,10387,6390,358,46120,6501,273,633,178,38
"156","MMETSP0322",1780,39019,9406,17339,8235,NA,7086,4387,NA,31776,4739,NA,157,45,NA
"157","MMETSP0323",42298,26237,10489,22091,8993,NA,10626,6693,NA,15511,3264,NA,100,28,NA
"158","MMETSP0324",99510,114758,28049,67760,29558,6042,34679,20707,4246,79774,10971,2104,305,32,11
"159","MMETSP0325",97130,121012,28026,66666,29580,4865,35136,20869,3464,85541,11190,1632,335,35,11
"160","MMETSP0326",44293,28687,10985,23149,9505,1719,11323,7108,1363,16916,3481,433,448,129,42
"161","MMETSP0327",2375,45040,10812,19475,9336,53,8822,5264,38,35928,5213,23,290,83,0
"162","MMETSP0328",67858,71984,15508,49505,19289,10802,30438,17779,8948,41465,8026,4118,81,24,14
"163","MMETSP0329",1213,2376,888,1010,486,32,451,284,23,1922,249,10,3,0,0
"164","MMETSP0347",28633,36004,10138,21610,9144,7045,10281,5837,4457,25677,5081,3670,46,12,11
"165","MMETSP0359",178850,293585,39646,126570,52147,8516,73683,42913,6782,218541,26477,3265,1367,154,63
"166","MMETSP0360",108509,137971,33576,84019,33644,NA,40255,21243,NA,97468,15903,NA,248,36,NA
"167","MMETSP0361",184980,295191,40680,131056,52729,NA,75817,43291,NA,218015,27452,NA,1359,170,NA
"168","MMETSP0367",106068,153247,34216,80732,36461,6443,43258,23453,4332,109707,16208,2522,282,42,16
"169","MMETSP0368",107051,150723,34220,81090,35868,6802,42909,23132,4519,107574,16243,2731,240,28,9
"170","MMETSP0369",115322,151287,34828,84578,36469,7349,43869,23547,4894,107160,16807,2932,258,39,10
"171","MMETSP0370",105955,132713,32579,77923,33246,8045,39348,21254,5197,93135,15295,3288,230,23,10
"172","MMETSP0371",29064,130185,32344,77388,32812,2199,39086,21040,1399,90896,15103,905,203,28,6
"173","MMETSP0372",3023,2107,735,2037,602,145,1079,755,124,1008,227,43,20,12,2
"174","MMETSP0378",42220,28899,10096,23954,9134,959,9524,5749,756,19332,4421,289,43,12,0
"175","MMETSP0380",38153,23528,8540,20442,7508,682,8015,4881,539,15103,3595,190,410,124,42
"176","MMETSP0382",126886,228219,41708,100534,49253,6825,59698,31826,4674,168262,22470,2592,259,39,9
"177","MMETSP0384",183765,269259,61300,144384,73301,26904,85305,50483,19076,183290,29010,8752,664,178,54
