,kept,total,perc_kept,num_kmers,fp_rate
MMETSP1122,28902293,59338703,48.7%,122578663,0.000
MMETSP1176,13116554,38700267,33.9%,62667337,0.000
MMETSP1047,22625469,54318507,41.7%,133161239,0.000
MMETSP1081,14667672,48313627,30.4%,88179540,0.000
MMETSP0098,8387862,65136750,12.9%,102453302,0.000
MMETSP0804,23376239,57703919,40.5%,109404303,0.000
MMETSP0726,12676059,43298135,29.3%,72260753,0.000
MMETSP0286,16321559,50476016,32.3%,87789344,0.000
MMETSP0040,16036635,53878749,29.8%,78773557,0.000
MMETSP0795,18531776,53775854,34.5%,94629472,0.000
MMETSP0946,6844236,45930974,14.9%,53204274,0.000
MMETSP0228,34433527,46868201,73.5%,172519308,0.001
MMETSP1157,23846836,55757345,42.8%,100236008,0.000
MMETSP1036,38824738,51222115,75.8%,187687748,0.001
MMETSP0790,30696910,42790552,71.7%,177483180,0.001
MMETSP0798,24300550,55346747,43.9%,141740244,0.000
MMETSP1037,39133438,54368911,72.0%,199919899,0.001
MMETSP1385,27810402,44721286,62.2%,145622531,0.000
MMETSP0030,44750833,53729418,83.3%,209474112,0.001
MMETSP0920,15052727,40611579,37.1%,69158375,0.000
MMETSP0384,52710448,67677401,77.9%,367760200,0.009
MMETSP1016,38225562,44452990,86.0%,199465618,0.001
MMETSP0019,20118389,69037536,29.1%,79799748,0.000
MMETSP1411,20555800,46897114,43.8%,90695984,0.000
MMETSP0292,17236794,65206259,26.4%,99665469,0.000
MMETSP0990,31689273,77145698,41.1%,201242365,0.001
MMETSP1042,20849989,49369162,42.2%,107666554,0.000
MMETSP1316,9755948,41203758,23.7%,45203658,0.000
MMETSP1463,13786391,45315865,30.4%,75646324,0.000
MMETSP1163,6840298,47718459,14.3%,80389935,0.000
MMETSP0986,25224829,57678251,43.7%,143617067,0.000
MMETSP1390,15374537,43723435,35.2%,58018499,0.000
MMETSP0914,15856990,44482434,35.6%,66089644,0.000
MMETSP1162,13711728,37144926,36.9%,73546937,0.000
MMETSP0202,35372602,44068817,80.3%,200297341,0.001
MMETSP0102,17024882,39966761,42.6%,79811299,0.000
MMETSP0325,40515473,74982572,54.0%,163663147,0.001
MMETSP0850,14881066,35361147,42.1%,74529459,0.000
MMETSP0744,19293451,90340159,21.4%,78869431,0.000
MMETSP1058,24060962,66230435,36.3%,93142988,0.000
MMETSP0985,28976367,63941201,45.3%,187499966,0.001
MMETSP0139,20857094,62017784,33.6%,86463019,0.000
MMETSP0414,13926868,34710248,40.1%,97116986,0.000
MMETSP1356,15783479,52613172,30.0%,84767400,0.000
MMETSP1059,19804162,71778795,27.6%,80076227,0.000
MMETSP0224,27202560,43080899,63.1%,121701914,0.000
MMETSP0887,12683444,27023865,46.9%,51476733,0.000
MMETSP0789,20188671,53432373,37.8%,86921177,0.000
MMETSP0327,20437040,76458126,26.7%,78058946,0.000
MMETSP0796,47477442,62649060,75.8%,224647438,0.002
MMETSP0251,15629913,140349076,11.1%,314425445,0.005
MMETSP0169,18473641,51456047,35.9%,82443342,0.000
MMETSP0272,47467876,61624957,77.0%,209018667,0.001
MMETSP0152,18891228,45676012,41.4%,81125809,0.000
MMETSP0892,9508434,18123817,52.5%,41599858,0.000
MMETSP0880,20253063,47669454,42.5%,76450328,0.000
MMETSP1394,13030919,26434425,49.3%,57925254,0.000
MMETSP0907,21835847,35233739,62.0%,106619244,0.000
MMETSP0786,21112343,51318222,41.1%,87556946,0.000
MMETSP0814,11015070,23635135,46.6%,59194019,0.000
MMETSP1434,7922886,26914166,29.4%,45818586,0.000
MMETSP0947,23387901,75932444,30.8%,126580517,0.000
MMETSP0812,15893372,50092013,31.7%,73265753,0.000
MMETSP0932,11295984,54510477,20.7%,46914183,0.000
MMETSP1406,19645421,46263763,42.5%,87572210,0.000
