,total_annotated_contigs,unique_annotations,annotations_w_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam
MMETSP0416,38204,17791,2331,21192,12808,1735,47135,7231,674,601,193,34
MMETSP0417,17091,11162,878,12469,8195,695,39944,3844,205,124,36,9
MMETSP0418,26970,11412,1579,11735,7460,1176,42248,5862,449,763,220,55
MMETSP0419,26951,14150,,17811,10182,,46553,6604,,354,122,
MMETSP0420,20686,10937,2069,11203,7470,1326,29988,4511,805,180,52,15
MMETSP0434,26458,14004,4119,14724,10931,3090,26228,4058,1074,1088,379,121
MMETSP0436,16008,8503,1795,9157,6769,1452,14857,2230,339,579,187,53
MMETSP0437,15120,8377,637,9674,5700,495,24493,3322,164,196,51,5
MMETSP0439,1065,667,58,633,529,53,1096,154,6,0,0,0
MMETSP0447,43081,24689,,27771,17400,,73403,9202,,539,158,
MMETSP0448,74527,33254,8487,42393,22537,5588,93265,14491,3297,118,38,11
MMETSP0449,13103,8212,1721,9445,6344,1306,15443,2118,427,137,61,20
MMETSP0451,3250,1390,550,1400,1007,358,3603,670,240,5,3,1
MMETSP0452,8,,,2,,,0,,,0,,
MMETSP0463,14804,10359,2631,11175,8867,2080,13294,2106,592,221,84,28
MMETSP0467,73703,42262,15911,53533,32432,11662,82372,12693,4779,578,157,32
MMETSP0468,42400,17696,4814,19611,10983,3016,55589,7964,1968,215,57,12
MMETSP0469,97768,40464,17466,51110,29011,12051,132302,17286,6031,1959,551,277
MMETSP0470,44717,18867,5134,20399,11675,3288,58993,8535,1994,283,84,23
MMETSP0471,44864,18099,5128,20415,11225,3264,58672,8264,2011,979,306,101
MMETSP0472,99848,48005,20378,47800,32135,13286,118291,19022,7744,716,239,55
MMETSP0484,49402,24263,7591,27390,15943,4892,79561,9784,2922,240,52,17
MMETSP0491,29127,14852,3670,16518,9781,2545,40359,6859,1281,83,26,4
MMETSP0492,18776,8108,154,8120,4731,109,19230,4224,45,72,24,0
MMETSP0493,26993,11047,1716,11617,6572,1091,31091,5814,687,167,56,26
MMETSP0494,25891,10821,,11826,6586,,31328,5431,,127,40,
MMETSP0503,60155,32974,9690,43039,24232,6944,75517,11181,3090,146,39,9
MMETSP0527,119698,40499,13880,36799,21653,6780,148390,23035,8027,211,49,19
MMETSP0528,120914,40446,13595,36681,21512,6512,150271,23228,7949,195,45,12
MMETSP0562,30032,13121,4247,12556,7771,2680,34696,7125,1918,158,56,34
MMETSP0563,27948,10959,1388,10734,6306,827,36899,6480,666,62,20,2
MMETSP0573,126195,43118,5213,39129,22694,2488,170624,25216,3080,171,38,3
MMETSP0574,129237,46611,,41778,23847,,197757,27866,,318,77,
MMETSP0578,23179,9139,1154,8861,5258,706,27182,5215,504,147,46,15
MMETSP0580,18418,8354,693,8201,4841,427,29303,4597,309,169,60,21
MMETSP0593,25258,10498,1283,10218,5943,744,35365,5994,608,98,35,11
MMETSP0595,26109,13086,1876,13653,8157,1209,44514,6093,730,167,49,21
MMETSP0603,22439,9657,915,9080,5230,579,33825,5579,397,53,14,2
MMETSP0604,24343,10211,1101,9727,5599,625,36027,5827,516,413,135,39
MMETSP0648,118781,40767,10835,36415,21289,5257,147710,23187,6222,207,53,14
MMETSP0649,122116,42345,10103,37783,21971,4873,159302,24302,5818,227,49,15
MMETSP0661,128795,64191,,88053,47837,,161172,24734,,3355,1004,
MMETSP0689,59897,24772,3019,22285,12575,1467,105546,14374,1826,178,27,11
MMETSP0693,6035,2909,,2715,2082,,4086,1210,,212,65,
MMETSP0696,31885,14216,964,15290,8661,653,48210,7656,403,124,30,4
MMETSP0697,32925,14442,875,15853,8907,606,49606,7838,359,212,54,13
MMETSP0698,32105,14188,,15454,8756,,47639,7554,,116,30,
MMETSP0699,30166,12828,,14180,8208,,43767,6759,,274,93,
MMETSP0705,17336,8112,,7036,4642,,16437,4063,,532,170,
MMETSP0706,23799,12695,3321,10499,7053,2017,27580,6523,1371,631,224,41
MMETSP0707,25896,11751,126,10903,6367,79,40989,6456,53,333,91,0
MMETSP0708,18070,9599,2073,7963,5302,1306,18720,4994,794,476,186,42
MMETSP0713,22915,10181,113,9272,5688,62,33797,5648,51,126,31,0
MMETSP0716,28,15,,22,0,,0,0,,89,27,
MMETSP0717,6077,2824,,2619,1982,,2721,958,,111,28,
MMETSP0718,7065,3259,464,2842,1885,298,8259,1720,172,140,39,8
MMETSP0719,5309,3605,,3282,2211,,6403,1823,,828,285,
MMETSP0724,25853,11483,1143,11691,6304,654,45025,6310,551,212,70,8
MMETSP0725,26878,11144,2210,11018,6264,1149,38112,6099,1155,231,70,23
MMETSP0726,19364,8160,2506,8140,4832,1462,25571,3937,1126,139,43,19
MMETSP0727,25008,10647,2118,10516,5986,1133,36334,5624,1107,150,44,21
MMETSP0733,45189,15787,2412,20502,10630,1706,38764,7425,847,289,130,36
MMETSP0734,44489,15555,2465,20430,10562,1738,38095,7193,860,355,161,43
MMETSP0735,44161,15475,2557,19711,10253,1771,38814,7417,919,367,160,53
MMETSP0736,47368,16198,2460,21414,11098,1788,39113,7508,831,313,140,33
MMETSP0737,38173,15266,1451,16295,9093,984,49412,8422,564,334,97,23
MMETSP0738,20729,12759,1514,11884,7942,1065,39827,7094,493,709,237,40
MMETSP0739,33652,13440,2957,13319,7857,1873,36226,7096,1192,438,161,27
MMETSP0740,25054,13862,3867,11719,8300,2444,26576,7034,1541,1190,441,86
MMETSP0744,24609,10516,1182,9717,5851,723,34825,6075,498,125,40,8
MMETSP0745,22829,9849,,8909,5448,,29930,5466,,108,31,
MMETSP0746,26490,10572,,9726,6009,,31984,5885,,236,78,
MMETSP0747,23233,9900,,8973,5462,,29734,5551,,103,30,
MMETSP0751,22109,10061,20,9993,5762,12,36921,5751,7,275,89,1
MMETSP0752,25699,11976,,11317,6797,,40972,6833,,296,96,
MMETSP0753,24363,10754,,10304,6139,,34157,6093,,299,93,
MMETSP0754,1,,,0,,,0,,,0,,
MMETSP0758,12934,7272,755,6840,4415,464,47027,3251,325,178,60,12
MMETSP0759,10386,5952,215,5730,3613,132,40016,2766,93,124,38,10
MMETSP0766,74907,27555,8027,27671,14630,4485,87710,15305,3852,721,214,78
MMETSP0780,39323,16155,,23805,15339,,87769,7718,,556,177,
MMETSP0784,94057,39831,7686,39782,22269,4772,158518,21644,3467,377,65,30
MMETSP0785,21312,11234,17,11332,6393,9,44642,5400,9,221,59,0
MMETSP0786,26791,11874,1201,10135,6064,633,49600,7131,625,175,50,18
MMETSP0789,451,200,28,188,120,28,717,110,10,0,0,0
MMETSP0790,91668,40468,12734,51095,26359,8312,103390,18234,4981,183,28,9
MMETSP0794,42449,18104,,16477,10540,,53022,8877,,448,114,
MMETSP0795,19687,5908,,8728,4204,,17070,2389,,361,108,
MMETSP0796,114947,46908,3532,57122,29617,2256,152633,22977,1447,240,44,3
MMETSP0797,94985,46436,,64009,34051,,122179,17322,,528,138,
MMETSP0798,28258,14781,5781,15653,11240,4012,25098,4467,1936,259,67,22
MMETSP0799,72274,27845,6835,31238,19061,4666,81918,11180,2452,477,134,31
MMETSP0800,28391,11438,1214,11798,7073,838,37605,6212,428,533,173,37
MMETSP0802,12131,7874,51,8474,4984,34,34744,3707,15,145,48,1
MMETSP0803,26036,19132,4244,22263,15164,3566,42667,4946,746,202,61,20
MMETSP0804,27602,14140,,16653,9362,,58684,7296,,174,50,
MMETSP0806,14133,9639,,11297,6882,,27774,3660,,488,139,
MMETSP0807,10242,6555,,7531,5319,,40440,3196,,234,51,
MMETSP0809,30703,12997,5638,14795,8929,3860,33600,4846,1934,131,46,24
MMETSP0810,38003,15636,7048,18423,10705,4747,41133,5903,2568,89,35,12
MMETSP0811,43761,16523,6856,20351,11225,4513,44310,6500,2542,439,147,59
MMETSP0812,23047,10237,,10000,6525,,36600,5092,,174,60,
MMETSP0814,24169,12166,3752,12922,8094,2469,30171,5156,1424,72,24,6
MMETSP0815,40033,20438,4150,22898,14064,3036,54522,8517,1274,198,60,17
MMETSP0816,31664,11638,2096,10766,6876,1267,31394,6920,959,282,99,26
MMETSP0817,31556,17735,2685,21567,12689,2091,48111,7107,694,85,30,6
